"","symbol","date","open","high","low","close","volume","adjusted","exg_rate"
"83","S&P_500",2020-04-30,2930.909912,2930.909912,2892.469971,2912.429932,6544980000,2912.429932,1
"84","S&P_500",2020-05-01,2869.090088,2869.090088,2821.610107,2830.709961,4759810000,2830.709961,1
"85","S&P_500",2020-05-04,2815.01001,2844.23999,2797.850098,2842.73999,4735930000,2842.73999,1
"86","S&P_500",2020-05-05,2868.879883,2898.22998,2863.550049,2868.439941,5140290000,2868.439941,1
"87","S&P_500",2020-05-06,2883.139893,2891.110107,2847.649902,2848.419922,4892570000,2848.419922,1
"88","S&P_500",2020-05-07,2878.26001,2901.919922,2876.47998,2881.189941,5178790000,2881.189941,1
"89","S&P_500",2020-05-08,2908.830078,2932.159912,2902.879883,2929.800049,4876030000,2929.800049,1
"90","S&P_500",2020-05-11,2915.459961,2944.25,2903.439941,2930.189941,4819730000,2930.189941,1
"91","S&P_500",2020-05-12,2939.5,2945.820068,2869.590088,2870.120117,5119630000,2870.120117,1
"92","S&P_500",2020-05-13,2865.860107,2874.139893,2793.149902,2820,6151650000,2820,1
"93","S&P_500",2020-05-14,2794.540039,2852.800049,2766.639893,2852.5,5651130000,2852.5,1
"94","S&P_500",2020-05-15,2829.949951,2865.01001,2816.780029,2863.699951,5507700000,2863.699951,1
"95","S&P_500",2020-05-18,2913.860107,2968.090088,2913.860107,2953.909912,6373670000,2953.909912,1
"96","S&P_500",2020-05-19,2948.590088,2964.209961,2922.350098,2922.939941,4984330000,2922.939941,1
"97","S&P_500",2020-05-20,2953.629883,2980.290039,2953.629883,2971.610107,5005380000,2971.610107,1
"98","S&P_500",2020-05-21,2969.949951,2978.5,2938.570068,2948.51001,4976620000,2948.51001,1
"99","S&P_500",2020-05-22,2948.050049,2956.76001,2933.590088,2955.449951,3970860000,2955.449951,1
"100","S&P_500",2020-05-26,3004.080078,3021.719971,2988.169922,2991.77002,5848500000,2991.77002,1
"101","S&P_500",2020-05-27,3015.649902,3036.25,2969.75,3036.129883,6.398e+09,3036.129883,1
"102","S&P_500",2020-05-28,3046.610107,3068.669922,3023.399902,3029.72998,5447020000,3029.72998,1
"103","S&P_500",2020-05-29,3025.169922,3049.169922,2998.610107,3044.310059,7297550000,3044.310059,1
"104","S&P_500",2020-06-01,3038.780029,3062.179932,3031.540039,3055.72998,4684170000,3055.72998,1
"105","S&P_500",2020-06-02,3064.780029,3081.070068,3051.639893,3080.820068,5197150000,3080.820068,1
"106","S&P_500",2020-06-03,3098.899902,3130.939941,3098.899902,3122.870117,6005560000,3122.870117,1
"107","S&P_500",2020-06-04,3111.560059,3128.909912,3090.409912,3112.350098,6451290000,3112.350098,1
"108","S&P_500",2020-06-05,3163.840088,3211.719971,3163.840088,3193.929932,8639300000,3193.929932,1
"109","S&P_500",2020-06-08,3199.919922,3233.129883,3196,3232.389893,8498300000,3232.389893,1
"110","S&P_500",2020-06-09,3213.320068,3222.709961,3193.110107,3207.179932,6410930000,3207.179932,1
"111","S&P_500",2020-06-10,3213.419922,3223.27002,3181.48999,3190.139893,6598870000,3190.139893,1
"112","S&P_500",2020-06-11,3123.530029,3123.530029,2999.48999,3002.100098,7037320000,3002.100098,1
"113","S&P_500",2020-06-12,3071.040039,3088.419922,2984.469971,3041.310059,5845330000,3041.310059,1
"114","S&P_500",2020-06-15,2993.76001,3079.76001,2965.659912,3066.590088,5757480000,3066.590088,1
"115","S&P_500",2020-06-16,3131,3153.449951,3076.060059,3124.73999,5845810000,3124.73999,1
"116","S&P_500",2020-06-17,3136.129883,3141.159912,3108.030029,3113.48999,4560450000,3113.48999,1
"117","S&P_500",2020-06-18,3101.639893,3120,3093.51001,3115.340088,4448690000,3115.340088,1
"118","S&P_500",2020-06-19,3140.290039,3155.530029,3083.110107,3097.73999,8346650000,3097.73999,1
"119","S&P_500",2020-06-22,3094.419922,3120.919922,3079.389893,3117.860107,4686690000,3117.860107,1
"120","S&P_500",2020-06-23,3138.699951,3154.899902,3127.120117,3131.290039,4711850000,3131.290039,1
"121","S&P_500",2020-06-24,3114.399902,3115.01001,3032.129883,3050.330078,5597680000,3050.330078,1
"122","S&P_500",2020-06-25,3046.600098,3086.25,3024.01001,3083.76001,4847690000,3083.76001,1
"123","S&P_500",2020-06-26,3073.199951,3073.72998,3004.629883,3009.050049,8107850000,3009.050049,1
"124","S&P_500",2020-06-29,3018.590088,3053.889893,2999.73999,3053.23999,4473970000,3053.23999,1
"125","S&P_500",2020-06-30,3050.199951,3111.51001,3047.830078,3100.290039,4705850000,3100.290039,1
"126","S&P_500",2020-07-01,3105.919922,3128.439941,3101.169922,3115.860107,4449230000,3115.860107,1
"127","S&P_500",2020-07-02,3143.639893,3165.810059,3124.52002,3130.01001,4197720000,3130.01001,1
"128","S&P_500",2020-07-06,3155.290039,3182.590088,3155.290039,3179.719971,4759160000,3179.719971,1
"129","S&P_500",2020-07-07,3166.439941,3184.149902,3142.929932,3145.320068,4571330000,3145.320068,1
"130","S&P_500",2020-07-08,3153.070068,3171.800049,3136.530029,3169.939941,4937310000,3169.939941,1
"131","S&P_500",2020-07-09,3176.169922,3179.780029,3115.699951,3152.050049,4843650000,3152.050049,1
"132","S&P_500",2020-07-10,3152.469971,3186.820068,3136.219971,3185.040039,4524190000,3185.040039,1
"133","S&P_500",2020-07-13,3205.080078,3235.320068,3149.429932,3155.219971,4902440000,3155.219971,1
"134","S&P_500",2020-07-14,3141.110107,3200.949951,3127.659912,3197.52002,4507140000,3197.52002,1
"135","S&P_500",2020-07-15,3225.97998,3238.280029,3200.76001,3226.560059,4686830000,3226.560059,1
"136","S&P_500",2020-07-16,3208.360107,3220.389893,3198.590088,3215.570068,3972860000,3215.570068,1
"137","S&P_500",2020-07-17,3224.209961,3233.52002,3205.649902,3224.72998,4012850000,3224.72998,1
"138","S&P_500",2020-07-20,3224.290039,3258.610107,3215.159912,3251.840088,3979340000,3251.840088,1
"139","S&P_500",2020-07-21,3268.52002,3277.290039,3247.77002,3257.300049,4556610000,3257.300049,1
"140","S&P_500",2020-07-22,3254.860107,3279.320068,3253.100098,3276.02002,4267160000,3276.02002,1
"141","S&P_500",2020-07-23,3271.639893,3279.98999,3222.659912,3235.659912,4296760000,3235.659912,1
"142","S&P_500",2020-07-24,3218.580078,3227.26001,3200.050049,3215.629883,3689410000,3215.629883,1
"143","S&P_500",2020-07-27,3219.840088,3241.429932,3214.25,3239.409912,3970310000,3239.409912,1
"144","S&P_500",2020-07-28,3234.27002,3243.719971,3216.169922,3218.439941,4053180000,3218.439941,1
"145","S&P_500",2020-07-29,3227.219971,3264.73999,3227.219971,3258.439941,4478200000,3258.439941,1
"146","S&P_500",2020-07-30,3231.76001,3250.919922,3204.129883,3246.219971,4264920000,3246.219971,1
"147","S&P_500",2020-07-31,3270.449951,3272.169922,3220.26001,3271.120117,5007530000,3271.120117,1
"148","S&P_500",2020-08-03,3288.26001,3302.72998,3284.530029,3294.610107,4438940000,3294.610107,1
"149","S&P_500",2020-08-04,3289.919922,3306.840088,3286.370117,3306.51001,4414380000,3306.51001,1
"150","S&P_500",2020-08-05,3317.370117,3330.77002,3317.370117,3327.77002,4535060000,3327.77002,1
"151","S&P_500",2020-08-06,3323.169922,3351.030029,3318.139893,3349.159912,4278930000,3349.159912,1
"152","S&P_500",2020-08-07,3340.050049,3352.540039,3328.719971,3351.280029,4110030000,3351.280029,1
"153","S&P_500",2020-08-10,3356.040039,3363.290039,3335.439941,3360.469971,4327920000,3360.469971,1
"154","S&P_500",2020-08-11,3370.340088,3381.01001,3326.439941,3333.689941,4880540000,3333.689941,1
"155","S&P_500",2020-08-12,3355.459961,3387.889893,3355.459961,3380.350098,3772250000,3380.350098,1
"156","S&P_500",2020-08-13,3372.949951,3387.23999,3363.350098,3373.429932,3438730000,3373.429932,1
"157","S&P_500",2020-08-14,3368.659912,3378.51001,3361.639893,3372.850098,3200060000,3372.850098,1
"158","S&P_500",2020-08-17,3380.860107,3387.590088,3379.219971,3381.98999,3460330000,3381.98999,1
"159","S&P_500",2020-08-18,3387.040039,3395.060059,3370.149902,3389.780029,3669550000,3389.780029,1
"160","S&P_500",2020-08-19,3392.51001,3399.540039,3369.659912,3374.850098,3679480000,3374.850098,1
"161","S&P_500",2020-08-20,3360.47998,3390.800049,3354.689941,3385.51001,3431040000,3385.51001,1
"162","S&P_500",2020-08-21,3386.01001,3399.959961,3379.310059,3397.159912,3505010000,3397.159912,1
"163","S&P_500",2020-08-24,3418.090088,3432.090088,3413.129883,3431.280029,3743410000,3431.280029,1
"164","S&P_500",2020-08-25,3435.949951,3444.209961,3425.840088,3443.620117,3627650000,3443.620117,1
"165","S&P_500",2020-08-26,3449.969971,3481.070068,3444.149902,3478.72998,3780530000,3478.72998,1
"166","S&P_500",2020-08-27,3485.139893,3501.379883,3468.350098,3484.550049,3955890000,3484.550049,1
"167","S&P_500",2020-08-28,3494.689941,3509.22998,3484.320068,3508.01001,3868510000,3508.01001,1
"168","S&P_500",2020-08-31,3509.72998,3514.77002,3493.25,3500.310059,4348280000,3500.310059,1
"169","S&P_500",2020-09-01,3507.439941,3528.030029,3494.600098,3526.649902,4101490000,3526.649902,1
"170","S&P_500",2020-09-02,3543.76001,3588.110107,3535.22998,3580.840088,4295640000,3580.840088,1
